invoice_id,store_name,store_num,deli_retail,total,signature,signed_by,check_number,notes
5090201,Caywood Saginaw,,Retail,$189.40,5090201.Signature.171034.png,Sheila,,
5090202,Lucky Seven Floodwood,33,Deli,$278.00,,,,
5090203,Lucky Seven Swan River,24,Deli,$889.60,5090203.Signature.183843.png,Melanie,,
5090204,Lucky Seven Swan River,24,Retail,$120.00,5090204.Signature.183914.png,Melanie,,
5090205,Lucky Seven Grand Rapids West,30,Retail,$90.00,5090205.Signature.191908.png,Ruver,,
5090206,Lucky Seven Grand Rapids West,30,Deli,$166.80,5090206.Signature.191935.png,River,,
5090207,Lucky Seven Grand Rapids East,22,Deli,$222.40,5090207.Signature.194006.png,,,
5090208,Lucky Seven Nashwauk,26,Deli,$20.85,5090208.Signature.201008.png,,,
5090209,Lucky Seven Hibbing Y,15,Retail,$394.60,5090209.Signature.205418.png,Brittany,,
5090210,Lucky Seven Hibbing Y,15,Deli,$166.80,5090210.Signature.205451.png,Brittany,,
5090211,Korner Store Chisholm,200,Retail,$73.70,5090211.Signature.212433.png,Leonard,,
5090212,Lucky Seven Chisholm,6,Retail,$124.70,5090212.Signature.214133.png,,,
5090213,Lucky Seven Chisholm,6,Deli,$333.60,5090213.Signature.214218.png,Luke,,
5090214,Lucky Seven Cook,2,Retail,$65.75,5090214.Signature.223615.png,,,
5090215,Short Stop Cook,,Retail,$100.00,5090215.Signature.224533.png,Matt,,
5090216,The Y Store,,Retail,$660.40,5090216.Signature.232146.png,Peter,,
5090217,Lucky Seven Ely,11,Deli,$222.40,5090217.Signature.000620.png,Ethan,,
5090218,Lucky Seven Ely,11,Retail,$104.40,5090218.Signature.000710.png,Ethan,,
5090219,Short Stop Ely Voyageur,66,Retail,$53.80,5090219.Signature.001759.png,Becky,,
5090220,Lucky Seven Aurora,13,Deli,$222.40,5090220.Signature.011433.png,David,,
5090221,Lucky Seven Hoyt Lakes,10,Deli,$166.80,5090221.Signature.013443.png,,,
5090222,Lucky Seven Hoyt Lakes,10,Retail,$55.60,5090222.Signature.013409.png,Bob,,
5083001,Lucky Seven Osceola,44,Deli,,,,,
5083002,Lucky Seven Osceola,44,Retail,,,,,
5083003,Lucky Seven Cushing,42,Deli,,,,,
5083004,Lucky Seven Cushing,42,Retail,,,,,
5083005,Lucky Seven Grantsburg,39,Deli,,,,,
5083006,Lucky Seven Luck,40,Deli,,,,,
5083007,Lucky Seven Minong,36,Deli,,,,,
5083008,Lucky Seven Minong,36,Retail,,,,,
5083009,Lucky Seven Balsam Lake,43,Deli,,,,,
5083010,Lucky Seven Balsam Lake,43,Retail,,,,,
5090201,Caywood Saginaw,,Retail,,5090201.Signature.171034.png,Sheila,,
5090202,Lucky Seven Floodwood,33,Deli,,,,,
5090203,Lucky Seven Swan River,24,Deli,,5090203.Signature.183843.png,Melanie,,
5090204,Lucky Seven Swan River,24,Retail,,5090204.Signature.183914.png,Melanie,,
5090205,Lucky Seven Grand Rapids West,30,Retail,,5090205.Signature.191908.png,Ruver,,
5090206,Lucky Seven Grand Rapids West,30,Deli,,5090206.Signature.191935.png,River,,
5090207,Lucky Seven Grand Rapids East,22,Deli,,5090207.Signature.194006.png,,,
5090208,Lucky Seven Nashwauk,26,Deli,,5090208.Signature.201008.png,,,
5090209,Lucky Seven Hibbing Y,15,Retail,,5090209.Signature.205418.png,Brittany,,
5090210,Lucky Seven Hibbing Y,15,Deli,,5090210.Signature.205451.png,Brittany,,
5090211,Korner Store Chisholm,200,Retail,,5090211.Signature.212433.png,Leonard,,
5090212,Lucky Seven Chisholm,6,Retail,,5090212.Signature.214133.png,,,
5090213,Lucky Seven Chisholm,6,Deli,,5090213.Signature.214218.png,Luke,,
5090214,Lucky Seven Cook,2,Retail,,5090214.Signature.223615.png,,,
5090215,Short Stop Cook,,Retail,,5090215.Signature.224533.png,Matt,,
5090216,The Y Store,,Retail,,5090216.Signature.232146.png,Peter,,
5090217,Lucky Seven Ely,11,Deli,,5090217.Signature.000620.png,Ethan,,
5090218,Lucky Seven Ely,11,Retail,,5090218.Signature.000710.png,Ethan,,
5090219,Short Stop Ely Voyageur,66,Retail,,5090219.Signature.001759.png,Becky,,
5090220,Lucky Seven Aurora,13,Deli,,5090220.Signature.011433.png,David,,
5090221,Lucky Seven Hoyt Lakes,10,Deli,,5090221.Signature.013443.png,,,
