invoice_id,store_name,store_num,date,time,brand,product,flavor,quantity,price_definition,price,subtotal,product_id,,,,,,,
80663f9b,Lucky Seven Biwabik,1,10/30/24,,Shelton,Pizza,Chicken Alfredo,11,Regular Price,$6.95,$76.45,,,,,,,,
80663f9b,Lucky Seven Biwabik,1,10/30/24,,Shelton,Pizza,Supreme,6,Regular Price,$6.95,$41.70,,,,,,,,
80663f9b,Lucky Seven Biwabik,1,10/30/24,,Shelton,Pizza,BBQ Cheeseburger,8,Regular Price,$6.95,$55.60,,,,,,,,
7067da2a,Lucky Seven Biwabik,1,10/30/24,,Shelton,Pizza,Pepperoni,16,Regular Price,$6.95,$111.20,,,,,,,,
7067da2a,Lucky Seven Biwabik,1,10/30/24,,Shelton,Pizza,Breakfast,24,Regular Price,$6.95,$166.80,,,,,,,,
1ebf6318,Lucky Seven Aurora,13,10/30/24,,Shelton,Pizza,Supreme,8,Regular Price,$6.95,$55.60,,,,,,,,
1ebf6318,Lucky Seven Biwabik,1,10/30/24,,Shelton,Pizza,Pepperoni,12,Regular Price,$6.95,$83.40,,,,,,,,
d565e146,Lucky Seven Aurora,13,10/30/24,,Shelton,Pizza,Chicken Alfredo,8,Regular Price,$6.95,$55.60,,,,,,,,
d565e146,Lucky Seven Aurora,13,10/30/24,,Shelton,Pizza,Breakfast,8,Regular Price,$6.95,$55.60,,,,,,,,
c19a3672,Lucky Seven Hoyt Lakes,10,10/30/24,,Shelton,Pizza,Supreme,8,Regular Price,$6.95,$55.60,,,,,,,,
1b13fbb0,Lucky Seven Hoyt Lakes,10,10/30/24,,Shelton,Pizza,Chicken Alfredo,8,Regular Price,$6.95,$55.60,,,,,,,,
1b13fbb0,Lucky Seven Hoyt Lakes,10,10/30/24,,Shelton,Pizza,Breakfast,8,Regular Price,$6.95,$55.60,,,,,,,,
1b13fbb0,Lucky Seven Hoyt Lakes,10,10/30/24,,Shelton,Pizza,Pepperoni,8,Regular Price,$6.95,$55.60,,,,,,,,
9fac6a51,Short Stop Virginia,5,10/30/24,,Tielke,Sandwich,Italian,12,Regular Price,$3.95,$47.40,,,,,,,,
9fac6a51,Short Stop Virginia,5,10/30/24,,Tielke,Sandwich,Philly Cheese,12,Regular Price,$4.75,$57.00,,,,,,,,
36135995,Short Stop Express Virginia,,10/30/24,,Stokke,Meat Stick,Salami Cheddar,5,Regular Price,$5.00,$25.00,,,,,,,,
36135995,Short Stop Express Virginia,,10/30/24,,Duluth Sausage Co.,Meat n Cheese,Colby Jack 5oz,4,Regular Price,$3.25,$13.00,,,,,,,,
36135995,Short Stop Express Virginia,,10/30/24,,Stokke,Meat Stick,Honey BBQ,5,Regular Price,$5.00,$25.00,,,,,,,,
36135995,Short Stop Express Virginia,,10/30/24,,Stokke,Meat Stick,Jalapeno Cheddar,5,Regular Price,$5.00,$25.00,,,,,,,,
32889324,Lucky Seven Biwabik,1,10/30/24,,Shelton,Pizza,Pepp. Italian Sausage,4,Regular Price,$6.95,$27.80,,,,,,,,
af339fdf,Lucky Seven Cook,2,10/30/24,,Shelton,Pizza,Pepperoni,8,Regular Price,$6.95,$55.60,,,,,,,,
