invoice_id,store_name,store_num,date,time,brand,product,flavor,quantity,price_definition,price,subtotal,product_id
5090201,Caywood Saginaw,,9/2/2025,11:58 AM,Shelton,Pizza,Pepperoni,8,Regular Price,$6.95,$55.60,a1b4979f
5090201,Caywood Saginaw,,9/2/2025,11:59 AM,Stokke,Meat Stick,Jalapeno Cheddar,6,Regular Price,$5.00,$30.00,f9e07f8e
5090201,Caywood Saginaw,,9/2/2025,11:58 AM,Stokke,Pizza,Supreme,4,Regular Price,$5.95,$23.80,9cec89d3
5090201,Caywood Saginaw,,9/2/2025,12:00 PM,Stokke,Meat Stick,Teriyaki,6,Regular Price,$5.00,$30.00,e801c906
5090201,Caywood Saginaw,,9/2/2025,11:59 AM,Stokke,Meat Stick,Salami Cheddar,1,Credit,$0.00,$0.00,d7045a9e
5090201,Caywood Saginaw,,9/2/2025,11:59 AM,Stokke,Meat Stick,Salami Cheddar,4,Regular Price,$5.00,$20.00,d7045a9e
5090201,Caywood Saginaw,,9/2/2025,12:00 PM,Stokke,Meat Stick,Honey BBQ,6,Regular Price,$5.00,$30.00,3bcc0557
5090202,Lucky Seven Floodwood,33,9/2/2025,12:38 PM,Shelton,Pizza,Breakfast,16,Regular Price,$6.95,$111.20,f597c8d8
5090202,Lucky Seven Floodwood,33,9/2/2025,12:38 PM,Shelton,Pizza,Four Meat,8,Regular Price,$6.95,$55.60,5d7f58f2
5090202,Lucky Seven Floodwood,33,9/2/2025,12:38 PM,Shelton,Pizza,Pepperoni,8,Regular Price,$6.95,$55.60,a1b4979f
5090202,Lucky Seven Floodwood,33,9/2/2025,12:38 PM,Shelton,Pizza,Pepp. Italian Sausage,8,Regular Price,$6.95,$55.60,0b2e3fca
5090203,Lucky Seven Swan River,24,9/2/2025,1:25 PM,Shelton,Pizza,Breakfast,16,Regular Price,$6.95,$111.20,f597c8d8
5090203,Lucky Seven Swan River,24,9/2/2025,1:25 PM,Shelton,Pizza,Chicken Alfredo,16,Regular Price,$6.95,$111.20,8f638871
5090203,Lucky Seven Swan River,24,9/2/2025,1:27 PM,Shelton,Pizza,Pepp. Italian Sausage,16,Regular Price,$6.95,$111.20,0b2e3fca
5090203,Lucky Seven Swan River,24,9/2/2025,1:27 PM,Shelton,Pizza,Italian Sausage,16,Regular Price,$6.95,$111.20,92432286
5090203,Lucky Seven Swan River,24,9/2/2025,1:27 PM,Shelton,Pizza,Pepperoni,16,Regular Price,$6.95,$111.20,a1b4979f
5090203,Lucky Seven Swan River,24,9/2/2025,1:25 PM,Shelton,Pizza,Supreme,16,Regular Price,$6.95,$111.20,d387e9d2
5090203,Lucky Seven Swan River,24,9/2/2025,1:27 PM,Shelton,Pizza,Buffalo Chicken,16,Regular Price,$6.95,$111.20,46d8e83a
